iter	MultiClass
0	1.848545153
1	1.766533171
2	1.708936723
3	1.662467933
4	1.612121092
5	1.576085815
6	1.533020907
7	1.494028462
8	1.462749146
9	1.433320397
10	1.40314423
11	1.377935293
12	1.347795612
13	1.324976449
14	1.302025844
15	1.284895605
16	1.267493713
17	1.244315121
18	1.225687058
19	1.205584776
20	1.194042621
21	1.18312493
22	1.166392494
23	1.155398321
24	1.14192165
25	1.131748641
26	1.114953782
27	1.104315447
28	1.091844909
29	1.083577629
30	1.075161334
31	1.066488156
32	1.057514556
33	1.046650562
34	1.035659707
35	1.025364073
36	1.018568766
37	1.010369436
38	1.001710801
39	0.9938730655
40	0.9886764918
41	0.9816669335
42	0.9743728565
43	0.9696455154
44	0.9629320475
45	0.9556261136
46	0.950404924
47	0.9438665846
48	0.9397551153
49	0.9334820047
50	0.9273939966
51	0.919232954
52	0.9126480471
53	0.9082174792
54	0.9048848522
55	0.8970524006
56	0.8917131794
57	0.8880714064
58	0.8819726962
59	0.8786378238
60	0.8767693444
61	0.8713491704
62	0.8672652127
63	0.8607777729
64	0.857075889
65	0.8531069002
66	0.8501623126
67	0.8457549518
68	0.8425382963
69	0.8356257356
70	0.8307658657
71	0.82733266
72	0.8250146605
73	0.8220819628
74	0.8185297943
75	0.8165837907
76	0.8146841236
77	0.8104378172
78	0.8066056833
79	0.8042461453
80	0.8012294138
81	0.7973735044
82	0.7952364223
83	0.79337213
84	0.7897064372
85	0.7852791844
86	0.7824248288
87	0.7797619744
88	0.7772930647
89	0.7741705096
90	0.7707615177
91	0.7685538905
92	0.7657093072
93	0.7622904004
94	0.7591575001
95	0.7561917613
96	0.7529229305
97	0.7508106561
98	0.7479393689
99	0.7441511715
100	0.7424167737
101	0.7400540459
102	0.737346267
103	0.7345604465
104	0.731408173
105	0.7290716689
106	0.7271940368
107	0.7251640484
108	0.7232985762
109	0.7209716012
110	0.7188208686
111	0.7177723045
112	0.715130497
113	0.712863251
114	0.7108880454
115	0.7081734157
116	0.7064389743
117	0.7041582255
118	0.7027909745
119	0.7013211904
120	0.6987510998
121	0.6962225672
122	0.6942419721
123	0.6908912427
124	0.6888586687
125	0.6870554449
126	0.6859736773
127	0.6848200871
128	0.6832717727
129	0.6814521957
130	0.6789379917
131	0.6760214175
132	0.6733744917
133	0.6704049988
134	0.6676884352
135	0.6663664303
136	0.6641170117
137	0.6621100783
138	0.6593457804
139	0.6578404775
140	0.6558160011
141	0.6537116449
142	0.6527851548
143	0.6517236351
144	0.6503279899
145	0.6482591753
146	0.6461662049
147	0.6451334404
148	0.6429877806
149	0.6405367465
150	0.6382743813
151	0.636589385
152	0.6346390841
153	0.6313796694
154	0.6289559739
155	0.627849378
156	0.6267728282
157	0.6251294683
158	0.623312452
159	0.6218663463
160	0.6198770934
161	0.6185210562
162	0.6162664181
163	0.6145297291
164	0.6135053498
165	0.6118329636
166	0.6094972282
167	0.6086128361
168	0.6076731731
169	0.6065215883
170	0.605240776
171	0.602919036
172	0.6019452039
173	0.6002866194
174	0.5989540403
175	0.597528873
176	0.5964479539
177	0.5953546166
178	0.5940616222
179	0.5923066914
180	0.5901492168
181	0.5889182883
182	0.5880773221
183	0.5868554796
184	0.5848502142
185	0.5834017904
186	0.5826776756
187	0.5816453182
188	0.5805461645
189	0.5788839774
190	0.5777145949
191	0.5763538494
192	0.5750241456
193	0.5742885059
194	0.572759912
195	0.5713084215
196	0.5702164526
197	0.5681522846
198	0.5667490786
199	0.5650663213
200	0.5638834358
201	0.5631577136
202	0.5621618191
203	0.5611632487
204	0.5601267595
205	0.5584243945
206	0.557329017
207	0.5556531637
208	0.5547613972
209	0.5536503018
210	0.5524561559
211	0.5513330311
212	0.5500395491
213	0.5493772718
214	0.5484199951
215	0.547699608
216	0.5457815746
217	0.5442953093
218	0.5433253938
219	0.5422399428
220	0.5411136023
221	0.5398667484
222	0.5393940212
223	0.5383590496
224	0.5373319638
225	0.5364123972
226	0.5354807739
227	0.5347590553
228	0.5334278971
229	0.5326872542
230	0.5309750648
231	0.5298256344
232	0.5291447563
233	0.5283372067
234	0.5276113775
235	0.5265899227
236	0.5257446123
237	0.5248583827
238	0.523862666
239	0.5231649075
240	0.5223052052
241	0.5212296366
242	0.5205784611
243	0.5193069245
244	0.5184543725
245	0.5175805675
246	0.5167882995
247	0.5155279266
248	0.5149321441
249	0.5141077464
250	0.5133205242
251	0.5126535287
252	0.5120121415
253	0.5110508656
254	0.5097801875
255	0.5082883609
256	0.5071624924
257	0.5065874369
258	0.5056200527
259	0.5048045607
260	0.5036709234
261	0.5029817352
262	0.5018417149
263	0.500795946
264	0.5001419361
265	0.4993197297
266	0.4985054707
267	0.4972850754
268	0.4957463901
269	0.4948866163
270	0.494353017
271	0.4934408896
272	0.492935007
273	0.4923265621
274	0.4912949793
275	0.4900441495
276	0.4891434193
277	0.4883594686
278	0.4870768179
279	0.4857630947
280	0.4842582299
281	0.4835554802
282	0.4826596172
283	0.4813197142
284	0.4808503871
285	0.4799545373
286	0.4794560486
287	0.4778903812
288	0.4764984031
289	0.4757882192
290	0.4752664708
291	0.4738691179
292	0.4730251704
293	0.4721460608
294	0.47132931
295	0.4701998723
296	0.4694599383
297	0.4681222591
298	0.4672970818
299	0.4667386427
300	0.4660985073
301	0.4655513235
302	0.464854655
303	0.464120372
304	0.4634975496
305	0.4629015672
306	0.462360824
307	0.4615957052
308	0.4613165045
309	0.4604778103
310	0.4592877747
311	0.458736856
312	0.4583162097
313	0.4577232477
314	0.4569582072
315	0.4564829629
316	0.4557237744
317	0.4551243262
318	0.4547025626
319	0.4542974377
320	0.4536455109
321	0.4529900538
322	0.4523323376
323	0.4514961039
324	0.4507915159
325	0.4504614656
326	0.4498840249
327	0.4493265542
328	0.4486585568
329	0.4481556548
330	0.4472707756
331	0.4467842202
332	0.4464372885
333	0.4459515941
334	0.445384602
335	0.4449398159
336	0.4438326047
337	0.4434716964
338	0.4429363005
339	0.4422687151
340	0.4415571857
341	0.4403455416
342	0.439987308
343	0.4394170643
344	0.4385510798
345	0.4378074376
346	0.4371608912
347	0.4365710147
348	0.4360089291
349	0.4354674272
350	0.4352361842
351	0.4346218488
352	0.4339305159
353	0.4334612454
354	0.4326811641
355	0.4321332022
356	0.4315928014
357	0.4311977992
358	0.4303397173
359	0.4296021251
360	0.4288971411
361	0.428639225
362	0.4280244813
363	0.4273035632
364	0.4267212675
365	0.4262632376
366	0.4258147267
367	0.4252550326
