iter	Passed	Remaining
0	159	159642
1	172	86196
2	185	61600
3	196	48945
4	209	41594
5	220	36568
6	232	32960
7	244	30297
8	257	28317
9	269	26696
10	281	25289
11	293	24137
12	305	23222
13	317	22384
14	329	21620
15	340	20971
16	352	20387
17	364	19863
18	376	19431
19	388	19053
20	400	18658
21	410	18267
22	422	17963
23	434	17657
24	444	17340
25	455	17073
26	467	16835
27	477	16590
28	489	16375
29	500	16197
30	511	15981
31	522	15804
32	533	15631
33	543	15450
34	553	15269
35	564	15110
36	573	14935
37	585	14830
38	601	14814
39	615	14770
40	627	14672
41	638	14569
42	650	14478
43	660	14352
44	672	14262
45	682	14161
46	695	14096
47	707	14028
48	723	14047
49	738	14036
50	753	14013
51	768	14012
52	782	13975
53	795	13930
54	807	13869
55	821	13855
56	836	13833
57	850	13807
58	864	13787
59	877	13744
60	891	13723
61	907	13722
62	924	13744
63	939	13742
64	955	13745
65	970	13736
66	986	13743
67	1000	13707
68	1013	13674
69	1025	13625
70	1038	13586
71	1051	13557
72	1064	13514
73	1078	13492
74	1090	13450
75	1102	13402
76	1114	13357
77	1127	13323
78	1138	13273
79	1150	13234
80	1162	13193
81	1174	13151
82	1186	13110
83	1199	13080
84	1212	13047
85	1223	13003
86	1235	12966
87	1248	12936
88	1259	12892
89	1271	12854
90	1283	12818
91	1296	12791
92	1308	12759
93	1319	12714
94	1334	12713
95	1361	12822
96	1380	12855
97	1395	12845
98	1411	12844
99	1425	12833
100	1437	12799
101	1451	12776
102	1467	12782
103	1483	12776
104	1498	12773
105	1515	12779
106	1532	12786
107	1549	12801
108	1571	12845
109	1588	12856
110	1606	12864
111	1625	12886
112	1668	13096
113	1691	13143
114	1708	13150
115	1725	13149
116	1742	13146
117	1760	13159
118	1779	13171
119	1798	13186
120	1813	13172
121	1831	13181
122	1854	13223
123	1872	13225
124	1886	13206
125	1899	13178
126	1914	13160
127	1929	13145
128	1942	13116
129	1957	13098
130	1972	13084
131	1987	13066
132	2000	13043
133	2014	13020
134	2026	12984
135	2041	12968
136	2053	12936
137	2066	12905
138	2078	12877
139	2092	12853
140	2105	12829
141	2120	12809
142	2133	12787
143	2150	12786
144	2171	12805
145	2186	12788
146	2206	12804
147	2223	12802
148	2240	12796
149	2255	12782
150	2272	12776
151	2287	12759
152	2302	12747
153	2318	12737
154	2333	12723
155	2347	12703
156	2360	12674
157	2377	12668
158	2392	12656
159	2406	12636
160	2421	12619
161	2434	12594
162	2447	12567
163	2459	12538
164	2471	12509
165	2484	12483
166	2497	12458
167	2508	12424
168	2521	12396
169	2533	12369
170	2546	12345
171	2558	12317
172	2570	12288
173	2582	12257
174	2592	12222
175	2605	12196
176	2616	12167
177	2626	12130
178	2637	12095
179	2648	12065
180	2661	12044
181	2673	12014
182	2684	11985
183	2695	11954
184	2706	11921
185	2717	11892
186	2728	11862
187	2737	11825
188	2748	11793
189	2758	11759
190	2769	11730
191	2780	11700
192	2791	11673
193	2802	11645
194	2813	11615
195	2824	11584
196	2835	11558
197	2847	11535
198	2858	11504
199	2871	11484
200	2883	11462
201	2894	11433
202	2904	11401
203	2915	11374
204	2925	11345
205	2935	11313
206	2947	11291
207	2958	11266
208	2969	11237
209	2980	11210
210	2990	11184
211	3001	11155
212	3011	11128
213	3021	11097
214	3032	11072
215	3043	11045
216	3053	11017
217	3066	10999
218	3077	10975
219	3089	10953
220	3100	10928
221	3110	10902
222	3124	10887
223	3136	10865
224	3153	10860
225	3169	10854
226	3183	10840
227	3196	10823
228	3209	10804
229	3222	10787
230	3234	10768
